City,State,State Name,Water Utility,Hardness (mg/L CaCO3),Hardness Class,Infrastructure Class,Winter Risk,Avg Winter Temp (F),Climate,Pipe Material,Pipe Era,Sewer System,Soil Type,Dominant Failure,Risk Score,Risk Class
"New York",NY,"New York","New York City Department of Environmental Protection",25,"Soft",aging,high,27,"humid continental","cast iron, galvanized steel, and copper in pre-war buildings","1890s–1950s in older boroughs, 1970s–1990s in outer areas","combined sewer overflow system — heavy rain can cause backups","bedrock and clay mix — limits pipe access in older boroughs","corroded cast iron drain lines in pre-war buildings",7,Elevated
"Los Angeles",CA,"California","Los Angeles Department of Water and Power",195,"Very Hard",mixed,low,57,"Mediterranean","copper and CPVC with older galvanized in pre-1970 homes","1950s–1980s in most residential neighborhoods","separate stormwater and sanitary — relatively modern in most zones","expansive clay and alluvial fill — causes foundation movement and slab leaks","hard water scale blockages and slab leaks from soil movement",7,Elevated
"Chicago",IL,"Illinois","Chicago Department of Water Management",148,"Hard",aging,high,22,"humid continental","lead service lines still present in older areas, cast iron mains","1900s–1960s in North Side and South Side neighborhoods","deep tunnel system (TARP) — still experiences backups during major storms","soft glacial clay — frost penetrates 30–40 inches in severe winters","freeze-thaw burst pipes in uninsulated exterior walls",9,High
"Houston",TX,"Texas","Houston Public Works Water Operations",184,"Very Hard",mixed,med,42,"humid subtropical","PVC and CPVC dominant, with copper in higher-end construction","1960s–2000s across most of the metro","flat terrain limits gravity flow — lift stations common and prone to failure","expansive black clay (Beaumont clay) — shrinks in drought, swells in rain","storm-driven sewer backups and post-freeze pipe failures",8,High
"Phoenix",AZ,"Arizona","City of Phoenix Water Services Department",250,"Very Hard",mixed,low,50,"hot desert","copper in older areas, PEX and CPVC dominant in post-1990 construction","1950s–1980s in established neighborhoods, 1990s–2020s in expanding suburbs","City of Phoenix — modern gravity sewer with regional treatment","expansive clay and caliche — causes foundation movement in saturated conditions","extreme hard water scale and slab leaks from expansive clay soil",7,Elevated
"Philadelphia",PA,"Pennsylvania","Philadelphia Water Department",95,"Moderately Hard",aging,high,28,"humid subtropical","lead service lines, cast iron, and wrought iron in older areas","1880s–1940s in row home neighborhoods","combined sewer overflow — 4,000+ miles of pipe, much from pre-1900","Wissahickon schist and urban fill — uneven bearing creates pipe joint stress","failing clay sewer laterals and corroded lead/cast iron service lines",8,High
"San Antonio",TX,"Texas","San Antonio Water System (SAWS)",272,"Very Hard",mixed,med,40,"humid subtropical","copper and galvanized steel in older homes, PEX in post-2000 builds","1950s–1990s in established neighborhoods","separated system — sanitary sewer distinct from stormwater in most areas","expansive Taylor Marl clay — extreme seasonal movement damages slabs","hard water scale in water heaters and post-freeze supply line failures",8,High
"San Diego",CA,"California","San Diego Public Utilities Department",237,"Very Hard",mixed,low,58,"Mediterranean","copper dominant coastal, PVC and PEX in newer inland tracts","1950s–1980s in coastal neighborhoods, 1990s–2010s inland","modern gravity sewer — Point Loma treatment plant serves most of city","coastal sandy loam and inland decomposed granite — variable pipe bedding quality","pitting corrosion on copper lines from marine air and hard water interaction",7,Elevated
"Dallas",TX,"Texas","Dallas Water Utilities",162,"Hard",mixed,med,37,"humid subtropical","cast iron drains in older areas, copper supply, PEX in new builds","1950s–1980s in Oak Cliff and East Dallas, 2000s in outer suburbs","separate sanitary and storm — aging clay pipes in older neighborhoods","Austin Chalk and Houston Black clay — among the most expansive soils in Texas","slab leaks from expansive clay soil and corroded cast iron drain lines",7,Elevated
"San Jose",CA,"California","San Jose Water Company",186,"Very Hard",mixed,low,49,"Mediterranean","copper supply lines dominant, cast iron drain stacks in older homes","1950s–1970s in Willow Glen and Rose Garden, 1980s–2000s in newer tracts","San Jose-Santa Clara Regional Wastewater Facility — modern treatment","alluvial valley fill — relatively stable but saturated during wet winters","mixed-material plumbing from serial renovations causing galvanic corrosion",7,Elevated
"Austin",TX,"Texas","Austin Water Utility",198,"Very Hard",mixed,low,42,"humid subtropical","copper in central neighborhoods, PEX in post-2000 builds","1960s–1990s in Central Austin, 2000s–2020s in expanding suburbs","separated system — Walnut Creek and South Austin plants serve city","Austin Chalk over expansive Taylor Marl — active geological movement","water heater failures from high mineral load and freeze events in winter",7,Elevated
"Jacksonville",FL,"Florida","JEA (Jacksonville Electric Authority)",57,"Soft",mixed,low,53,"humid subtropical","CPVC and PVC dominant, older homes have copper and galvanized","1960s–1990s across most of the city","JEA wastewater — widespread biosolids program, aging sewer in older areas","sandy coastal plain — poor pipe bedding support, shifting under heavy rain","water heater sediment buildup and corroded galvanized supply lines in older homes",4,Moderate
"Fort Worth",TX,"Texas","Fort Worth Water Department",210,"Very Hard",mixed,med,36,"humid subtropical","cast iron drains and copper supply in older areas, PEX in new builds","1950s–1980s in the Near Southside and North Side, 2000s in suburbs","Trinity River Authority participates — aging clay tile in historic areas","Fort Worth Clay and Eagle Ford Shale — severe vertical movement seasonally","slab foundation movement causing supply line stress and drain separation",8,High
"Columbus",OH,"Ohio","Columbus Division of Water",143,"Hard",aging,high,27,"humid continental","galvanized steel and copper in older neighborhoods, PVC in newer areas","1900s–1960s in Franklinton and German Village, 1970s–1990s in suburbs","Jackson Pike and Southerly treatment plants — combined sewer in oldest areas","glacial till and lacustrine clay — frost depth reaches 24 inches","galvanized steel pipe corrosion causing discolored water and restricted flow",9,High
"Charlotte",NC,"North Carolina","Charlotte Water",44,"Soft",mixed,med,32,"humid subtropical","PVC and CPVC dominant, copper in custom builds","1970s–1990s in established neighborhoods, 2000s–2020s in fast-growth areas","Irwin Creek and McAlpine Creek plants — rapidly expanding infrastructure","Piedmont red clay — moderate seasonal movement, challenging for buried pipes","CPVC pipe degradation and freeze events catching newer homes unprepared",5,Moderate
"Indianapolis",IN,"Indiana","Citizens Energy Group",258,"Very Hard",aging,high,24,"humid continental","cast iron drain stacks and galvanized supply in older homes","1900s–1950s in the inner city, 1960s–1980s in Northside suburbs","combined sewer overflow — DigIndy tunnel project underway to reduce overflows","glacial outwash gravel and clay — frost penetrates to 30 inches","frozen pipes in uninsulated crawl spaces and water heater failures from hard water",10,High
"San Francisco",CA,"California","San Francisco Public Utilities Commission (SFPUC)",60,"Soft",aging,low,50,"oceanic","lead, galvanized, and early copper in pre-war Victorians","1880s–1940s in Noe Valley and the Mission, 1950s–1980s in the Sunset","combined sewer — Oceanside and Southeast plants, aging Victorian-era laterals","Bay mud and made land — highly variable and seismically active","aged galvanized and lead supply lines in Victorian-era buildings",5,Moderate
"Seattle",WA,"Washington","Seattle Public Utilities",22,"Soft",mixed,low,40,"oceanic","copper dominant in post-WWII builds, galvanized in older Craftsman homes","1940s–1970s in Capitol Hill and the Central District, 1980s–2000s in suburbs","King County Metro Wastewater — combined sewer in oldest neighborhoods","glacial till and Vashon clay — high water table in many areas","sump pump failures during rain season and corroded galvanized in Craftsman-era homes",4,Moderate
"Denver",CO,"Colorado","Denver Water",71,"Moderately Hard",mixed,high,20,"semi-arid","copper supply lines, cast iron in older drains, PEX in new construction","1950s–1970s in Park Hill and Capitol Hill, 2000s in outer suburbs","Metro Wastewater Reclamation District — modern regional treatment","Pierre Shale and bentonite clay — significant shrink-swell behavior","frozen pipes from rapid overnight temperature drops and water heater strain at altitude",7,Elevated
"Nashville",TN,"Tennessee","Nashville Metro Water Services",115,"Moderately Hard",mixed,med,33,"humid subtropical","copper supply lines, PVC drain systems, PEX in post-2005 builds","1960s–1990s in Belle Meade and Green Hills, 2000s in Williamson County","Metro Nashville Water Services — combined sewer in older areas near downtown","residual limestone and chert — relatively stable, but karst features in some areas","freeze events catching homeowners unprepared and aging copper supply in older neighborhoods",6,Elevated
